id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
10632,False,21,22,15,0,15
10633,False,15,16,15,1,14
10634,False,36,37,32,0,32
10635,False,18,19,70,0,70
10636,False,13,14,7,0,7
10637,False,25,26,28,0,28
10638,False,49,50,70,0,70
10639,False,22,23,6,0,6
10640,False,11,12,0,0,0
10641,False,10,11,2,0,2
10642,False,8,9,9,2,7
10643,False,39,40,22,1,21
10644,False,22,23,10,0,10
10645,False,16,17,14,0,14
10646,False,8,9,8,0,8
10647,False,8,9,14,0,14
10648,False,37,38,44,0,44
10649,False,25,26,18,0,18
10650,False,20,21,12,0,12
10651,False,3,4,0,0,0
10652,False,17,18,9,0,9
10653,False,8,9,10,0,10
10654,False,14,15,2,0,2
10655,False,5,6,4,0,4
10656,False,14,15,36,3,33
10657,False,17,18,9,0,9
10658,False,26,27,43,0,43
10659,False,9,10,1,0,1
10660,False,10,11,2,0,2
10661,False,27,28,37,0,37
10662,False,38,39,15,0,15
10663,False,38,39,32,0,32
10664,False,49,50,22,0,22
10665,False,14,15,34,0,34
10666,False,13,14,12,1,11
10667,False,38,39,70,0,70
10668,False,23,24,19,0,19
10669,False,7,8,3,0,3
10670,False,18,19,43,0,43
10671,False,8,9,2,0,2
10672,False,12,13,33,2,31
10673,False,23,24,18,0,18
10674,False,19,20,8,0,8
10675,False,13,14,6,2,4
10676,False,17,18,30,0,30
10677,False,21,22,9,0,9
10678,False,6,7,4,0,4
10679,False,26,27,38,0,38
10680,False,8,9,6,0,6
10681,False,11,12,26,0,26
10682,False,22,23,32,0,32
10683,False,35,36,50,0,50
10684,False,15,16,4,0,4
10685,False,6,7,11,0,11
10686,False,9,10,45,5,40
10687,False,18,19,9,0,9
10688,False,17,18,6,0,6
10689,False,6,7,0,0,0
10690,False,6,7,3,0,3
10691,False,9,10,4,0,4
10692,False,28,29,65,0,65
10693,False,24,25,20,0,20
10694,False,10,11,8,1,7
10695,False,7,8,5,0,5
10696,False,17,18,9,0,9
10697,False,17,18,66,0,66
10698,False,7,8,13,0,13
10699,False,9,10,11,0,11
10700,False,9,10,1,0,1
10701,False,5,6,10,0,10
10702,False,11,12,7,3,4
10703,False,9,10,0,0,0
10704,False,4,5,29,0,29
10705,False,8,9,58,1,57
10706,False,12,13,8,0,8
10707,False,19,20,18,1,17
10708,False,30,31,17,0,17
10709,False,17,18,5,2,3
10710,False,14,15,18,0,18
10711,False,7,8,3,0,3
10712,False,12,13,43,0,43
10713,False,11,12,10,0,10
10714,False,10,11,59,1,58
10715,False,19,20,3,0,3
10716,False,8,9,8,0,8
10717,False,12,13,27,1,26
10718,False,9,10,2,0,2
10719,False,26,27,46,2,44
10720,False,30,31,16,0,16
10721,False,9,10,29,0,29
10722,False,8,9,8,0,8
10723,False,2,3,3,0,3
10724,False,15,16,2,0,2
10725,False,3,4,1,0,1
10726,False,35,36,39,0,39
10727,False,17,18,8,0,8
10728,False,17,18,16,3,13
10729,False,32,33,35,0,35
10730,False,23,24,16,0,16
10731,False,8,9,25,0,25
10732,False,8,9,5,0,5
10733,False,7,8,4,0,4
10734,False,10,11,0,0,0
10735,False,3,4,4,0,4
10736,False,8,9,4,0,4
10737,False,28,29,34,0,34
10738,False,27,28,17,0,17
10739,False,14,15,15,0,15
10740,False,7,8,24,1,23
10741,False,33,34,23,1,22
10742,False,12,13,35,1,34
10743,False,5,6,36,0,36
10744,False,1,2,10,0,10
10745,False,48,49,24,0,24
10746,False,36,37,17,0,17
10747,False,14,15,10,0,10
10748,False,7,8,5,0,5
10749,False,12,13,18,0,18
10750,False,5,6,2,0,2
10751,False,10,11,8,0,8
